TIME,RPM,TPS,Ponto_de_ignição,MAP,Posição_do_acelerador,Sonda_Geral,Alvo_do_malha_fechada,Sonda_Malha_Fechada,Correção_do_malha_fechada,2-step,Largada_validada,Marcha,Vazão_da_bancada_A,Fluxo_total_de_combustível,Ângulo_da_Fase_de_Injeção,Pressão_diferencial_de_combustível,Abertura_bicos_A,Tempo_de_Injeção_Banco_A,Temp._do_motor,Temp._do_Ar,Tensão_da_Bateria,Dwell_de_ignição,Eletroventilador_1_-_Enriquecimento,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Partida_do_motor,Lenta,Primeiro_pulso_de_partida,Corte_-_Modo_de_Segurança,Sinal_de_sincronia_do_motor,Corte_na_desaceleração_(cutoff),Injeção_rápida_e_de_decaimento,Consumo_total,Consumo_medio,Consumo_instantâneo,Potência_estimada,Torque_estimado,Distância_total,Autonomia,Ajuste_ativo,Eletroventilador_1,Bomba_Combustível,Velocidade_de_tração,Velocidade_de_referência,Controle_de_tração_-_Slip,Controle_de_tração_-_Slip_rate,Delta_TPS,2-step_-_Botão,Injeção_rápida,Injeção_de_decaimento,Cutoff_de_injeção,Blip/Punta_taco,Controle_de_lenta,Injeção_pós_partida
1.610,1508,0.0,14.00,-0.17,0.0,1.122,0.000,1.123,0.00,OFF,OFF,0,5.0,5.0,372.68,3.14,5.05,3.720,70.5,29.1,13.01,2.80,0.0,1.18,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.650,1535,0.0,14.00,-0.17,0.0,1.122,0.000,1.121,0.00,OFF,OFF,0,4.7,4.7,378.82,3.13,4.79,3.720,70.5,29.1,13.00,2.80,0.0,1.21,2.96,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.690,1549,0.0,14.00,-0.17,0.0,1.116,0.000,1.118,0.00,OFF,OFF,0,4.7,4.7,377.72,3.14,4.80,3.720,70.5,29.1,13.02,2.80,0.0,1.21,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.730,1532,0.0,14.00,-0.17,0.0,1.116,0.000,1.116,0.00,OFF,OFF,0,4.7,4.7,377.67,3.13,4.80,3.729,70.5,29.1,12.96,2.80,0.0,1.10,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.770,1403,0.0,14.00,-0.15,0.0,1.123,0.000,1.121,0.00,OFF,OFF,0,4.2,4.2,387.28,3.13,4.32,3.729,70.5,29.1,12.99,2.80,0.0,1.05,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,8,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.810,1476,0.0,14.00,-0.16,0.0,1.122,0.000,1.124,0.00,OFF,OFF,0,4.4,4.4,383.56,3.13,4.50,3.715,70.5,29.1,13.03,2.80,0.0,1.22,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.850,1595,0.0,14.00,-0.17,0.0,1.130,0.000,1.130,0.00,OFF,OFF,0,4.8,4.8,374.90,3.14,4.89,3.680,70.5,29.1,13.03,2.80,0.0,1.22,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.890,1500,0.0,14.00,-0.16,0.0,1.128,0.000,1.128,0.00,OFF,OFF,0,4.5,4.5,380.65,3.13,4.61,3.690,70.5,29.1,12.97,2.80,0.0,1.13,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.930,1450,0.0,14.00,-0.16,0.0,1.129,0.000,1.131,0.00,OFF,OFF,0,4.3,4.3,384.21,3.14,4.41,3.689,70.5,29.0,13.04,2.80,0.0,1.17,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,8,42,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
1.970,1639,0.0,14.00,-0.16,0.0,1.129,0.000,1.129,0.00,OFF,OFF,0,4.9,4.9,372.28,3.13,4.98,3.680,70.5,29.0,13.04,2.80,0.0,1.32,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
2.010,1627,0.0,14.00,-0.16,0.0,1.132,0.000,1.130,0.00,OFF,OFF,0,4.9,4.9,372.51,3.14,5.00,3.680,70.5,29.0,13.04,2.80,0.0,1.24,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
2.050,1484,0.0,14.00,-0.16,0.0,1.131,0.000,1.134,0.00,OFF,OFF,0,4.5,4.5,381.01,3.13,4.57,3.680,70.5,29.0,13.04,2.80,0.0,1.19,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,42,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
2.090,1613,0.0,14.00,-0.15,0.0,1.130,0.000,1.132,0.00,OFF,OFF,0,4.9,4.9,374.63,3.13,4.90,3.680,70.5,29.0,13.08,2.80,0.0,1.30,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
2.130,1625,0.0,14.00,-0.16,0.0,1.131,0.000,1.127,0.00,OFF,OFF,0,4.9,4.9,372.86,3.13,5.00,3.680,70.5,29.0,13.06,2.80,0.0,1.28,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
2.170,1559,0.0,14.00,-0.15,0.0,1.135,0.000,1.140,0.00,OFF,OFF,0,4.7,4.7,376.99,3.13,4.81,3.680,70.5,29.0,13.05,2.80,0.0,1.19,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
